 rank |            title            | revenue | total revenue | percent revenue 
  400 | CASUALTIES ENCINO           |   72.91 |      44470.23 | 65.96
  401 | PAST SUICIDES               |   72.87 |      44615.97 | 66.18
  401 | WYOMING STORM               |   72.87 |      44615.97 | 66.18
  403 | GAMES BOWFINGER             |   72.86 |      44688.83 | 66.29
  404 | EGYPT TENENBAUMS            |   72.83 |      44834.49 | 66.50
  404 | POTTER CONNECTICUT          |   72.83 |      44834.49 | 66.50
  406 | INSTINCT AIRPORT            |   72.82 |      44907.31 | 66.61
  407 | NEIGHBORS CHARADE           |   72.81 |      44980.12 | 66.72
  408 | LEBOWSKI SOLDIERS           |   72.79 |      45052.91 | 66.83
  409 | SNOWMAN ROLLERCOASTER       |   72.77 |      45125.68 | 66.94
  410 | HILLS NEIGHBORS             |   72.75 |      45198.43 | 67.04
  411 | CARIBBEAN LIBERTY           |   71.91 |      45270.34 | 67.15
  412 | ALABAMA DEVIL               |   71.88 |      45342.22 | 67.26
  413 | BRINGING HYSTERICAL         |   71.80 |      45414.02 | 67.36
  414 | CHARIOTS CONSPIRACY         |   71.79 |      45485.81 | 67.47
  415 | SWARM GOLD                  |   71.73 |      45557.54 | 67.58
  416 | TEMPLE ATTRACTION           |   70.88 |      45628.42 | 67.68
  417 | JINGLE SAGEBRUSH            |   70.87 |      45841.03 | 68.00
  417 | SATURN NAME                 |   70.87 |      45841.03 | 68.00
  417 | USUAL UNTOUCHABLES          |   70.87 |      45841.03 | 68.00
  420 | TURN STAR                   |   70.86 |      45911.89 | 68.10
  421 | DINOSAUR SECRETARY          |   70.80 |      45982.69 | 68.21
  422 | AMISTAD MIDSUMMER           |   70.79 |      46053.48 | 68.31
  423 | FAMILY SWEET                |   70.70 |      46194.88 | 68.52
  423 | RUGRATS SHAKESPEARE         |   70.70 |      46194.88 | 68.52
  425 | DAUGHTER MADIGAN            |   69.91 |      46264.79 | 68.63
  426 | MOTHER OLEANDER             |   69.86 |      46334.65 | 68.73
  427 | ARTIST COLDBLOODED          |   69.84 |      46404.49 | 68.83
  428 | DRIVER ANNIE                |   69.82 |      46474.31 | 68.94
  429 | POLLOCK DELIVERANCE         |   69.81 |      46544.12 | 69.04
  430 | FLIGHT LIES                 |   68.88 |      46681.88 | 69.24
  430 | GUNFIGHTER MUSSOLINI        |   68.88 |      46681.88 | 69.24
  432 | NOON PAPI                   |   68.83 |      46750.71 | 69.35
  433 | HONEY TIES                  |   68.81 |      46819.52 | 69.45
  434 | CHICKEN HELLFIGHTERS        |   68.78 |      46888.30 | 69.55
  435 | DETECTIVE VISION            |   68.73 |      46957.03 | 69.65
  436 | AMELIE HELLFIGHTERS         |   67.90 |      47024.93 | 69.75
  437 | BILL OTHERS                 |   67.81 |      47092.74 | 69.85
  438 | DIVIDE MONSTER              |   67.79 |      47228.32 | 70.05
  438 | EXCITEMENT EVE              |   67.79 |      47228.32 | 70.05
  440 | ORANGE GRAPES               |   67.76 |      47296.08 | 70.16
  441 | KING EVOLUTION              |   66.91 |      47362.99 | 70.25
  442 | TWISTED PIRATES             |   66.89 |      47429.88 | 70.35
  443 | DANGEROUS UPTOWN            |   66.88 |      47496.76 | 70.45
  444 | OPPOSITE NECKLACE           |   66.87 |      47563.63 | 70.55
  445 | BAREFOOT MANCHURIAN         |   66.82 |      47697.27 | 70.75
  445 | WONKA SEA                   |   66.82 |      47697.27 | 70.75
  447 | NORTH TEQUILA               |   65.89 |      47829.05 | 70.95
  447 | OPUS ICE                    |   65.89 |      47829.05 | 70.95
  449 | CHAMBER ITALIAN             |   65.88 |      48026.69 | 71.24
  449 | MEET CHOCOLATE              |   65.88 |      48026.69 | 71.24
  449 | WAR NOTTING                 |   65.88 |      48026.69 | 71.24
  452 | LOVELY JINGLE               |   65.86 |      48092.55 | 71.34
  453 | CLONES PINOCCHIO            |   65.81 |      48158.36 | 71.43
  454 | FIDDLER LOST                |   64.90 |      48223.26 | 71.53
  455 | LOST BIRD                   |   64.88 |      48288.14 | 71.63
  456 | DIVINE RESURRECTION         |   64.85 |      48482.69 | 71.92
  456 | MANCHURIAN CURTAIN          |   64.85 |      48482.69 | 71.92
  456 | NASH CHOCOLAT               |   64.85 |      48482.69 | 71.92
  459 | BEACH HEARTBREAKERS         |   64.83 |      48547.52 | 72.01
  460 | POND SEATTLE                |   64.81 |      48612.33 | 72.11
  461 | GILMORE BOILED              |   64.72 |      48677.05 | 72.20
  462 | BIRD INDEPENDENCE           |   63.89 |      48804.83 | 72.39
  462 | OCTOBER SUBMARINE           |   63.89 |      48804.83 | 72.39
  464 | JAWS HARRY                  |   63.86 |      48868.69 | 72.49
  465 | MASK PEACH                  |   63.83 |      48932.52 | 72.58
  466 | BOULEVARD MOB               |   63.82 |      48996.34 | 72.68
  467 | FURY MURDER                 |   63.81 |      49060.15 | 72.77
  468 | LOATHING LEGALLY            |   63.73 |      49123.88 | 72.87
  469 | HANDICAP BOONDOCK           |   63.72 |      49187.60 | 72.96
  470 | LOVER TRUMAN                |   62.90 |      49250.50 | 73.05
  471 | GASLIGHT CRUSADE            |   62.84 |      49376.18 | 73.24
  471 | REAP UNFAITHFUL             |   62.84 |      49376.18 | 73.24
  473 | ALONE TRIP                  |   62.82 |      49501.82 | 73.43
  473 | JADE BUNCH                  |   62.82 |      49501.82 | 73.43
  475 | CIDER DESIRE                |   62.81 |      49627.44 | 73.61
  475 | EARRING INSTINCT            |   62.81 |      49627.44 | 73.61
  477 | WRONG BEHAVIOR              |   62.80 |      49690.24 | 73.71
  478 | PACIFIC AMISTAD             |   62.76 |      49753.00 | 73.80
  479 | DYNAMITE TARZAN             |   62.75 |      49815.75 | 73.89
  480 | MOD SECRETARY               |   61.89 |      49877.64 | 73.98
  481 | STATE WASTELAND             |   61.88 |      49939.52 | 74.08
  482 | KICK SAVANNAH               |   61.80 |      50001.32 | 74.17
  483 | PARK CITIZEN                |   60.92 |      50062.24 | 74.26
  484 | SPARTACUS CHEAPER           |   60.91 |      50123.15 | 74.35
  485 | CIRCUS YOUTH                |   60.85 |      50184.00 | 74.44
  486 | UPRISING UPTOWN             |   60.84 |      50244.84 | 74.53
  487 | ANACONDA CONFESSIONS        |   60.79 |      50366.42 | 74.71
  487 | FIREBALL PHILADELPHIA       |   60.79 |      50366.42 | 74.71
  489 | PACKER MADIGAN              |   60.78 |      50427.20 | 74.80
  490 | TIGHTS DAWN                 |   60.74 |      50487.94 | 74.89
  491 | MADIGAN DORADO              |   59.90 |      50547.84 | 74.98
  492 | BORN SPINAL                 |   59.88 |      50727.48 | 75.24
  492 | MASSAGE IMAGE               |   59.88 |      50727.48 | 75.24
  492 | WINDOW SIDE                 |   59.88 |      50727.48 | 75.24
  495 | IDENTITY LOVER              |   59.87 |      50787.35 | 75.33
  496 | NEMO CAMPUS                 |   59.86 |      50847.21 | 75.42
  497 | OUTFIELD MASSACRE           |   59.80 |      50907.01 | 75.51
  498 | ANNIE IDENTITY              |   59.78 |      51026.57 | 75.69
  498 | FIGHT JAWBREAKER            |   59.78 |      51026.57 | 75.69
  500 | MOCKINGBIRD HOLLYWOOD       |   59.76 |      51086.33 | 75.78
  501 | SMILE EARRING               |   58.90 |      51145.23 | 75.86
  502 | TRAINSPOTTING STRANGERS     |   58.89 |      51204.12 | 75.95
  503 | VALLEY PACKER               |   58.85 |      51262.97 | 76.04
  504 | MUMMY CREATURES             |   58.84 |      51380.65 | 76.21
  504 | WILLOW TRACY                |   58.84 |      51380.65 | 76.21
  506 | HEAVEN FREEDOM              |   58.82 |      51439.47 | 76.30
  507 | FICTION CHRISTMAS           |   58.81 |      51498.28 | 76.39
  508 | DALMATIONS SWEDEN           |   58.80 |      51557.08 | 76.48
  509 | KARATE MOON                 |   58.77 |      51615.85 | 76.56
  510 | GUYS FALCON                 |   57.91 |      51673.76 | 76.65
  511 | DOUBTFIRE LABYRINTH         |   57.90 |      51789.56 | 76.82
  511 | LAMBS CINCINATTI            |   57.90 |      51789.56 | 76.82
  513 | SIERRA DIVIDE               |   57.85 |      51847.41 | 76.91
  514 | PILOT HOOSIERS              |   57.84 |      51905.25 | 76.99
  515 | PERFECT GROOVE              |   57.83 |      51963.08 | 77.08
  516 | ENOUGH RAGING               |   57.82 |      52078.72 | 77.25
  516 | RACER EGG                   |   57.82 |      52078.72 | 77.25
  518 | GABLES METROPOLIS           |   57.81 |      52194.34 | 77.42
  518 | RIVER OUTLAW                |   57.81 |      52194.34 | 77.42
  520 | STRAIGHT HOURS              |   57.80 |      52252.14 | 77.51
  521 | ELEMENT FREDDY              |   56.90 |      52309.04 | 77.59
  522 | BOWFINGER GABLES            |   56.89 |      52422.82 | 77.76
  522 | FUGITIVE MAGUIRE            |   56.89 |      52422.82 | 77.76
  524 | CREATURES SHAKESPEARE       |   56.84 |      52479.66 | 77.84
  525 | GRAPES FURY                 |   56.77 |      52536.43 | 77.93
  526 | WONDERFUL DROP              |   55.91 |      52592.34 | 78.01
  527 | BUGSY SONG                  |   55.89 |      52704.12 | 78.18
  527 | IRON MOON                   |   55.89 |      52704.12 | 78.18
  529 | PURPLE MOVIE                |   55.87 |      52759.99 | 78.26
  530 | ANALYZE HOOSIERS            |   55.86 |      52871.71 | 78.43
  530 | SHANE DARKNESS              |   55.86 |      52871.71 | 78.43
  532 | DIRTY ACE                   |   55.85 |      52927.56 | 78.51
  533 | PATRIOT ROMAN               |   55.84 |      52983.40 | 78.59
  534 | GREEK EVERYONE              |   55.83 |      53095.06 | 78.76
  534 | UNITED PILOT                |   55.83 |      53095.06 | 78.76
  536 | GUNFIGHT MOON               |   55.76 |      53206.58 | 78.92
  536 | SLUMS DUCK                  |   55.76 |      53206.58 | 78.92
  538 | DANCING FEVER               |   55.73 |      53262.31 | 79.00
  539 | MAGNIFICENT CHITTY          |   54.92 |      53317.23 | 79.09
  540 | ALI FOREVER                 |   54.91 |      53427.05 | 79.25
  540 | MONSOON CAUSE               |   54.91 |      53427.05 | 79.25
  542 | GO PURPLE                   |   54.80 |      53481.85 | 79.33
  543 | FRISCO FORREST              |   53.91 |      53589.67 | 79.49
  543 | NUTS TIES                   |   53.91 |      53589.67 | 79.49
  545 | HUNTING MUSKETEERS          |   53.85 |      53697.37 | 79.65
  545 | SCISSORHANDS SLUMS          |   53.85 |      53697.37 | 79.65
  547 | ROUGE SQUAD                 |   53.82 |      53751.19 | 79.73
  548 | REUNION WITCHES             |   53.80 |      53804.99 | 79.81
  549 | SLEUTH ORIENT               |   53.79 |      53858.78 | 79.89
  550 | EFFECT GLADIATOR            |   53.75 |      53966.28 | 80.05
  550 | SUN CONFESSIONS             |   53.75 |      53966.28 | 80.05
  552 | ACE GOLDFINGER              |   52.93 |      54019.21 | 80.13
  553 | CASPER DRAGONFLY            |   52.92 |      54072.13 | 80.21
  554 | REDS POCUS                  |   52.91 |      54177.95 | 80.36
  554 | VANILLA DAY                 |   52.91 |      54177.95 | 80.36
  556 | GRAIL FRANKENSTEIN          |   52.90 |      54336.65 | 80.60
  556 | RIGHT CRANES                |   52.90 |      54336.65 | 80.60
  556 | SENSIBILITY REAR            |   52.90 |      54336.65 | 80.60
  559 | EXORCIST STING              |   52.87 |      54389.52 | 80.68
  560 | ALLEY EVOLUTION             |   52.86 |      54548.10 | 80.91
  560 | MADRE GABLES                |   52.86 |      54548.10 | 80.91
  560 | SHRUNK DIVINE               |   52.86 |      54548.10 | 80.91
  563 | GRADUATE LORD               |   52.84 |      54600.94 | 80.99
  564 | FREAKY POCUS                |   52.83 |      54653.77 | 81.07
  565 | NOVOCAINE FLIGHT            |   52.81 |      54706.58 | 81.15
  566 | CHOCOLAT HARRY              |   52.80 |      54759.38 | 81.23
  567 | HAUNTING PIANIST            |   52.78 |      54812.16 | 81.30
  568 | ISHTAR ROCKETEER            |   51.93 |      54916.02 | 81.46
  568 | PANIC CLUB                  |   51.93 |      54916.02 | 81.46
  570 | ELIZABETH SHANE             |   51.90 |      54967.92 | 81.53
  571 | AFRICAN EGG                 |   51.88 |      55019.80 | 81.61
  572 | BREAKING HOME               |   51.87 |      55071.67 | 81.69
  573 | MONSTER SPARTACUS           |   51.85 |      55123.52 | 81.77
  574 | CADDYSHACK JEDI             |   51.84 |      55227.20 | 81.92
  574 | MOULIN WAKE                 |   51.84 |      55227.20 | 81.92
  576 | PIRATES ROXANNE             |   51.78 |      55278.98 | 82.00
  577 | VIRGINIAN PLUTO             |   51.71 |      55330.69 | 82.07
  578 | CLERKS ANGELS               |   50.93 |      55381.62 | 82.15
  579 | WORKER TARZAN               |   50.85 |      55432.47 | 82.22
  580 | INDIAN LOVE                 |   50.84 |      55534.15 | 82.37
  580 | LOCK REAR                   |   50.84 |      55534.15 | 82.37
  582 | KWAI HOMEWARD               |   50.77 |      55584.92 | 82.45
  583 | BOUND CHEAPER               |   50.76 |      55635.68 | 82.53
  584 | DARLING BREAKING            |   49.91 |      55785.41 | 82.75
  584 | INTOLERABLE INTENTIONS      |   49.91 |      55785.41 | 82.75
  584 | SPEED SUIT                  |   49.91 |      55785.41 | 82.75
  587 | HOLLOW JEOPARDY             |   49.90 |      55835.31 | 82.82
  588 | POTLUCK MIXED               |   49.89 |      55885.20 | 82.90
  589 | EXPRESS LONELY              |   49.87 |      55935.07 | 82.97
  590 | PERSONAL LADYBUGS           |   49.86 |      56034.79 | 83.12
  590 | TOWN ARK                    |   49.86 |      56034.79 | 83.12
  592 | MODERN DORADO               |   49.85 |      56134.49 | 83.27
  592 | WASTELAND DIVINE            |   49.85 |      56134.49 | 83.27
  594 | HOURS RAGE                  |   49.81 |      56184.30 | 83.34
  595 | GOSFORD DONNIE              |   48.92 |      56233.22 | 83.41
  596 | DROP WATERFRONT             |   48.91 |      56282.13 | 83.48
  597 | LOLITA WORLD                |   48.90 |      56331.03 | 83.56
  598 | RIDER CADDYSHACK            |   48.89 |      56379.92 | 83.63
  599 | DARKNESS WAR                |   48.87 |      56428.79 | 83.70
  600 | CYCLONE FAMILY              |   48.86 |      56526.51 | 83.85
  600 | HAMLET WISDOM               |   48.86 |      56526.51 | 83.85
  602 | VARSITY TRIP                |   48.84 |      56575.35 | 83.92
  603 | ROCK INSTINCT               |   48.83 |      56624.18 | 83.99
  604 | GOLDMINE TYCOON             |   48.73 |      56672.91 | 84.06
  605 | VOYAGE LEGALLY              |   48.72 |      56721.63 | 84.14
  606 | SENSE GREEK                 |   47.93 |      56769.56 | 84.21
  607 | CRUSADE HONEY               |   47.92 |      56817.48 | 84.28
  608 | KRAMER CHOCOLATE            |   47.91 |      56865.39 | 84.35
  609 | ENTRAPMENT SATISFACTION     |   47.85 |      57008.94 | 84.56
  609 | LABYRINTH LEAGUE            |   47.85 |      57008.94 | 84.56
  609 | SHIP WONDERLAND             |   47.85 |      57008.94 | 84.56
  612 | NEWTON LABYRINTH            |   47.83 |      57056.77 | 84.63
  613 | TRAMP OTHERS                |   47.80 |      57104.57 | 84.70
  614 | GROSSE WONDERFUL            |   46.92 |      57198.41 | 84.84
  614 | PUNK DIVORCE                |   46.92 |      57198.41 | 84.84
  616 | ANYTHING SAVANNAH           |   46.91 |      57339.14 | 85.05
  616 | HOTEL HAPPINESS             |   46.91 |      57339.14 | 85.05
  616 | LEGALLY SECRETARY           |   46.91 |      57339.14 | 85.05
  619 | STAGE WORLD                 |   46.90 |      57386.04 | 85.12
  620 | MICROCOSMOS PARADISE        |   46.87 |      57432.91 | 85.19
  621 | PARIS WEEKEND               |   46.86 |      57526.63 | 85.33
  621 | TROOPERS METAL              |   46.86 |      57526.63 | 85.33
  623 | SHREK LICENSE               |   46.85 |      57573.48 | 85.40
  624 | STORM HAPPINESS             |   46.71 |      57620.19 | 85.47
  625 | BABY HALL                   |   45.92 |      57666.11 | 85.54
  626 | MATRIX SNOWMAN              |   45.91 |      57757.93 | 85.67
  626 | PLATOON INSTINCT            |   45.91 |      57757.93 | 85.67
  628 | ROLLERCOASTER BRINGING      |   45.90 |      57803.83 | 85.74
  629 | SPEAKEASY DATE              |   45.88 |      57849.71 | 85.81
  630 | DATE SPEED                  |   45.87 |      57895.58 | 85.88
  631 | STOCK GLASS                 |   45.86 |      57987.30 | 86.01
  631 | UNCUT SUICIDES              |   45.86 |      57987.30 | 86.01
  633 | MIDNIGHT WESTWARD           |   45.83 |      58033.13 | 86.08
  634 | ARMAGEDDON LOST             |   45.79 |      58078.92 | 86.15
  635 | FANTASY TROOPERS            |   45.74 |      58124.66 | 86.22
  636 | MIRACLE VIRTUAL             |   44.91 |      58169.57 | 86.28
  637 | LIFE TWISTED                |   44.90 |      58259.37 | 86.42
  637 | RUN PACIFIC                 |   44.90 |      58259.37 | 86.42
  639 | PARTY KNOCK                 |   44.87 |      58304.24 | 86.48
  640 | CLUB GRAFFITI               |   44.80 |      58349.04 | 86.55
  641 | WOMEN DORADO                |   44.78 |      58393.82 | 86.62
  642 | ALASKA PHANTOM              |   44.74 |      58438.56 | 86.68
  643 | RECORDS ZORRO               |   43.92 |      58482.48 | 86.75
  644 | FOREVER CANDIDATE           |   43.87 |      58570.22 | 86.88
  644 | LUCKY FLYING                |   43.87 |      58570.22 | 86.88
  646 | GLASS DYING                 |   43.86 |      58657.94 | 87.01
  646 | SHANGHAI TYCOON             |   43.86 |      58657.94 | 87.01
  648 | NECKLACE OUTBREAK           |   43.85 |      58701.79 | 87.07
  649 | MAJESTIC FLOATS             |   43.83 |      58745.62 | 87.14
  650 | POCUS PULP                  |   43.74 |      58789.36 | 87.20
  651 | WARS PLUTO                  |   42.90 |      58832.26 | 87.27
  652 | CRANES RESERVOIR            |   42.89 |      58960.93 | 87.46
  652 | LORD ARIZONA                |   42.89 |      58960.93 | 87.46
  652 | PRIX UNDEFEATED             |   42.89 |      58960.93 | 87.46
  655 | SADDLE ANTITRUST            |   42.86 |      59003.79 | 87.52
  656 | ROOTS REMEMBER              |   42.83 |      59046.62 | 87.58
  657 | COAST RAINBOW               |   42.79 |      59132.20 | 87.71
  657 | MOURNING PURPLE             |   42.79 |      59132.20 | 87.71
  659 | BANGER PINOCCHIO            |   42.78 |      59174.98 | 87.78
  660 | EARLY HOME                  |   41.93 |      59258.84 | 87.90
  660 | HEAVENLY GUN                |   41.93 |      59258.84 | 87.90
  662 | HOOSIERS BIRDCAGE           |   41.92 |      59342.68 | 88.02
  662 | SOLDIERS EVOLUTION          |   41.92 |      59342.68 | 88.02
  664 | FEATHERS METAL              |   41.89 |      59384.57 | 88.09
  665 | MILE MULAN                  |   41.87 |      59468.31 | 88.21
  665 | SPIKING ELEMENT             |   41.87 |      59468.31 | 88.21
  667 | ARMY FLINTSTONES            |   41.84 |      59510.15 | 88.27
  668 | GROOVE FICTION              |   41.82 |      59551.97 | 88.33
  669 | DISCIPLE MOTHER             |   41.81 |      59635.59 | 88.46
  669 | SUNDANCE INVASION           |   41.81 |      59635.59 | 88.46
  671 | CROOKED FROGMEN             |   41.77 |      59677.36 | 88.52
  672 | CLUE GRAIL                  |   40.93 |      59800.15 | 88.70
  672 | EVE RESURRECTION            |   40.93 |      59800.15 | 88.70
  672 | PRESIDENT BANG              |   40.93 |      59800.15 | 88.70
  675 | TARZAN VIDEOTAPE            |   40.92 |      59841.07 | 88.76
  676 | FRIDA SLIPPER               |   40.90 |      59881.97 | 88.82
  677 | BLANKET BEVERLY             |   40.88 |      59922.85 | 88.88
  678 | CABIN FLASH                 |   40.85 |      59963.70 | 88.95
  679 | SPLENDOR PATTON             |   40.79 |      60004.49 | 89.01
  680 | JERSEY SASSY                |   39.94 |      60084.37 | 89.12
  680 | TERMINATOR CLUB             |   39.94 |      60084.37 | 89.12
  682 | ELF MURDER                  |   39.93 |      60164.23 | 89.24
  682 | FIRE WOLVES                 |   39.93 |      60164.23 | 89.24
  684 | STONE FIRE                  |   39.89 |      60204.12 | 89.30
  685 | ROBBERY BRIGHT              |   39.87 |      60283.86 | 89.42
  685 | SPINAL ROCKY                |   39.87 |      60283.86 | 89.42
  687 | PAJAMA JAWBREAKER           |   39.86 |      60323.72 | 89.48
  688 | ILLUSION AMELIE             |   39.85 |      60403.42 | 89.60
  688 | TOOTSIE PILOT               |   39.85 |      60403.42 | 89.60
  690 | JOON NORTHWEST              |   39.83 |      60443.25 | 89.66
  691 | ENCOUNTERS CURTAIN          |   39.81 |      60483.06 | 89.72
  692 | CONGENIALITY QUEST          |   39.78 |      60522.84 | 89.77
  693 | OUTBREAK DIVINE             |   39.77 |      60562.61 | 89.83
  694 | FEUD FROGMEN                |   39.75 |      60602.36 | 89.89
  695 | STORY SIDE                  |   39.72 |      60642.08 | 89.95
  696 | TALENTED HOMICIDE           |   39.71 |      60681.79 | 90.01
  697 | ITALIAN AFRICAN             |   38.94 |      60720.73 | 90.07
  698 | BLOOD ARGONAUTS             |   38.90 |      60798.53 | 90.18
  698 | WAGON JAWS                  |   38.90 |      60798.53 | 90.18
  700 | DRUMLINE CYCLONE            |   38.89 |      60837.42 | 90.24
  701 | MIGHTY LUCK                 |   38.88 |      60915.18 | 90.36
  701 | UPTOWN YOUNG                |   38.88 |      60915.18 | 90.36
  703 | INDEPENDENCE HOTEL          |   38.81 |      60953.99 | 90.41
  704 | PIANIST OUTFIELD            |   38.78 |      60992.77 | 90.47
  705 | WIND PHANTOM                |   38.77 |      61031.54 | 90.53
  706 | CAPER MOTIONS               |   38.76 |      61070.30 | 90.59
  707 | CURTAIN VIDEOTAPE           |   38.74 |      61109.04 | 90.64
  708 | MOON BUNCH                  |   38.71 |      61147.75 | 90.70
  709 | GRACELAND DYNAMITE          |   37.94 |      61185.69 | 90.76
  710 | GODFATHER DIARY             |   37.92 |      61261.53 | 90.87
  710 | VERTIGO NORTHWEST           |   37.92 |      61261.53 | 90.87
  712 | SNATCHERS MONTEZUMA         |   37.91 |      61299.44 | 90.93
  713 | ANTITRUST TOMATOES          |   37.90 |      61337.34 | 90.98
  714 | ADAPTATION HOLES            |   37.88 |      61413.10 | 91.10
  714 | HEDWIG ALTER                |   37.88 |      61413.10 | 91.10
  716 | INTRIGUE WORST              |   37.80 |      61450.90 | 91.15
  717 | SHOOTIST SUPERFLY           |   37.76 |      61488.66 | 91.21
  718 | GUN BONNIE                  |   37.75 |      61526.41 | 91.26
  719 | WESTWARD SEABISCUIT         |   37.74 |      61564.15 | 91.32
  720 | CONTROL ANTHEM              |   36.93 |      61638.01 | 91.43
  720 | DOZEN LION                  |   36.93 |      61638.01 | 91.43
  722 | MULAN MOON                  |   36.87 |      61674.88 | 91.48
  723 | INSECTS STONE               |   36.81 |      61711.69 | 91.54
  724 | CHEAPER CLYDE               |   36.80 |      61748.49 | 91.59
  725 | VOLCANO TEXAS               |   36.78 |      61785.27 | 91.65
  726 | ACADEMY DINOSAUR            |   36.77 |      61822.04 | 91.70
  727 | PRIMARY GLASS               |   36.73 |      61858.77 | 91.76
  728 | BUBBLE GROSSE               |   35.94 |      61966.59 | 91.92
  728 | FRONTIER CABIN              |   35.94 |      61966.59 | 91.92
  728 | SCHOOL JACKET               |   35.94 |      61966.59 | 91.92
  731 | UNTOUCHABLES SUNRISE        |   35.92 |      62002.51 | 91.97
  732 | GONE TROUBLE                |   35.90 |      62074.31 | 92.08
  732 | HALLOWEEN NUTS              |   35.90 |      62074.31 | 92.08
  734 | DONNIE ALLEY                |   35.86 |      62110.17 | 92.13
  735 | LOVE SUICIDES               |   35.80 |      62145.97 | 92.18
  736 | ALAMO VIDEOTAPE             |   35.76 |      62181.73 | 92.24
  737 | DOCTOR GRAIL                |   34.93 |      62216.66 | 92.29
  738 | RESERVOIR ADAPTATION        |   34.90 |      62251.56 | 92.34
  739 | MAGNOLIA FORRESTER          |   34.89 |      62321.34 | 92.44
  739 | SONG HEDWIG                 |   34.89 |      62321.34 | 92.44
  741 | MOB DUFFEL                  |   34.88 |      62356.22 | 92.49
  742 | RINGS HEARTBREAKERS         |   34.85 |      62391.07 | 92.55
  743 | SUMMER SCARFACE             |   34.84 |      62460.75 | 92.65
  743 | WATCH TRACY                 |   34.84 |      62460.75 | 92.65
  745 | TAXI KICK                   |   34.83 |      62495.58 | 92.70
  746 | LION UNCUT                  |   34.82 |      62530.40 | 92.75
  747 | BLADE POLISH                |   34.79 |      62565.19 | 92.80
  748 | CARRIE BUNCH                |   34.77 |      62634.73 | 92.91
  748 | EARTH VISION                |   34.77 |      62634.73 | 92.91
  750 | FEVER EMPIRE                |   33.95 |      62668.68 | 92.96
  751 | DIVORCE SHINING             |   33.93 |      62702.61 | 93.01
  752 | MAGUIRE APACHE              |   33.91 |      62736.52 | 93.06
  753 | SANTA PARIS                 |   33.89 |      62770.41 | 93.11
  754 | SPLASH GUMP                 |   33.86 |      62804.27 | 93.16
  755 | TRANSLATION SUMMER          |   33.85 |      62838.12 | 93.21
  756 | ROXANNE REBEL               |   33.81 |      62905.74 | 93.31
  756 | VOICE PEACH                 |   33.81 |      62905.74 | 93.31
  758 | AMADEUS HOLY                |   33.79 |      62973.32 | 93.41
  758 | CHAINSAW UPTOWN             |   33.79 |      62973.32 | 93.41
  760 | TEQUILA PAST                |   32.94 |      63006.26 | 93.46
  761 | BULWORTH COMMANDMENTS       |   32.93 |      63039.19 | 93.51
  762 | MAKER GABLES                |   32.90 |      63072.09 | 93.56
  763 | NATURAL STOCK               |   32.87 |      63104.96 | 93.60
  764 | STAMPEDE DISTURBING         |   32.86 |      63137.82 | 93.65
  765 | MOTIONS DETAILS             |   32.85 |      63170.67 | 93.70
  766 | BONNIE HOLOCAUST            |   32.84 |      63203.51 | 93.75
  767 | FACTORY DRAGON              |   32.83 |      63269.17 | 93.85
  767 | REAR TRADING                |   32.83 |      63269.17 | 93.85
  769 | MARS ROMAN                  |   32.81 |      63301.98 | 93.90
  770 | HIGHBALL POTTER             |   32.79 |      63334.77 | 93.95
  771 | ALTER VICTORY               |   32.78 |      63400.33 | 94.04
  771 | CHILL LUCK                  |   32.78 |      63400.33 | 94.04
  773 | CELEBRITY HORN              |   32.76 |      63433.09 | 94.09
  774 | SHEPHERD MIDSUMMER          |   32.75 |      63465.84 | 94.14
  775 | DESPERATE TRAINSPOTTING     |   31.94 |      63529.72 | 94.23
  775 | HAUNTED ANTITRUST           |   31.94 |      63529.72 | 94.23
  777 | DESTINATION JERK            |   31.92 |      63593.56 | 94.33
  777 | SAINTS BRIDE                |   31.92 |      63593.56 | 94.33
  779 | DWARFS ALTER                |   31.91 |      63657.38 | 94.42
  779 | RANDOM GO                   |   31.91 |      63657.38 | 94.42
  781 | DANCES NONE                 |   31.86 |      63689.24 | 94.47
  782 | SEVEN SWARM                 |   30.95 |      63720.19 | 94.52
  783 | APOCALYPSE FLAMINGOS        |   30.94 |      63751.13 | 94.56
  784 | JUMANJI BLADE               |   30.92 |      63782.05 | 94.61
  785 | DOLLS RAGE                  |   30.91 |      63812.96 | 94.65
  786 | LUCK OPUS                   |   30.90 |      63843.86 | 94.70
  787 | THEORY MERMAID              |   30.88 |      63874.74 | 94.75
  788 | SLIPPER FIDELITY            |   30.84 |      63905.58 | 94.79
  789 | EMPIRE MALKOVICH            |   30.79 |      63936.37 | 94.84
  790 | DARES PLUTO                 |   29.91 |      63996.19 | 94.93
  790 | WISDOM WORKER               |   29.91 |      63996.19 | 94.93
  792 | OLEANDER CLUE               |   29.90 |      64026.09 | 94.97
  793 | SIDE ARK                    |   29.88 |      64055.97 | 95.02
  794 | CLEOPATRA DEVIL             |   29.83 |      64115.63 | 95.10
  794 | LOUISIANA HARRY             |   29.83 |      64115.63 | 95.10
  796 | ROOM ROMAN                  |   29.80 |      64145.43 | 95.15
  797 | ROMAN PUNK                  |   29.76 |      64175.19 | 95.19
  798 | COWBOY DOOM                 |   28.93 |      64261.98 | 95.32
  798 | LUKE MUMMY                  |   28.93 |      64261.98 | 95.32
