 rank |            title            | revenue 
  637 | RUN PACIFIC                 |   44.90
  637 | LIFE TWISTED                |   44.90
  639 | PARTY KNOCK                 |   44.87
  640 | CLUB GRAFFITI               |   44.80
  641 | WOMEN DORADO                |   44.78
  642 | ALASKA PHANTOM              |   44.74
  643 | RECORDS ZORRO               |   43.92
  644 | FOREVER CANDIDATE           |   43.87
  644 | LUCKY FLYING                |   43.87
  646 | SHANGHAI TYCOON             |   43.86
  646 | GLASS DYING                 |   43.86
  648 | NECKLACE OUTBREAK           |   43.85
  649 | MAJESTIC FLOATS             |   43.83
  650 | POCUS PULP                  |   43.74
  651 | WARS PLUTO                  |   42.90
  652 | CRANES RESERVOIR            |   42.89
  652 | PRIX UNDEFEATED             |   42.89
  652 | LORD ARIZONA                |   42.89
  655 | SADDLE ANTITRUST            |   42.86
  656 | ROOTS REMEMBER              |   42.83
  657 | MOURNING PURPLE             |   42.79
  657 | COAST RAINBOW               |   42.79
  659 | BANGER PINOCCHIO            |   42.78
  660 | HEAVENLY GUN                |   41.93
  660 | EARLY HOME                  |   41.93
  662 | SOLDIERS EVOLUTION          |   41.92
  662 | HOOSIERS BIRDCAGE           |   41.92
  664 | FEATHERS METAL              |   41.89
  665 | MILE MULAN                  |   41.87
  665 | SPIKING ELEMENT             |   41.87
  667 | ARMY FLINTSTONES            |   41.84
  668 | GROOVE FICTION              |   41.82
  669 | DISCIPLE MOTHER             |   41.81
  669 | SUNDANCE INVASION           |   41.81
  671 | CROOKED FROGMEN             |   41.77
  672 | PRESIDENT BANG              |   40.93
  672 | CLUE GRAIL                  |   40.93
  672 | EVE RESURRECTION            |   40.93
  675 | TARZAN VIDEOTAPE            |   40.92
  676 | FRIDA SLIPPER               |   40.90
  677 | BLANKET BEVERLY             |   40.88
  678 | CABIN FLASH                 |   40.85
  679 | SPLENDOR PATTON             |   40.79
  680 | JERSEY SASSY                |   39.94
  680 | TERMINATOR CLUB             |   39.94
  682 | ELF MURDER                  |   39.93
  682 | FIRE WOLVES                 |   39.93
  684 | STONE FIRE                  |   39.89
  685 | SPINAL ROCKY                |   39.87
  685 | ROBBERY BRIGHT              |   39.87
  687 | PAJAMA JAWBREAKER           |   39.86
  688 | TOOTSIE PILOT               |   39.85
  688 | ILLUSION AMELIE             |   39.85
  690 | JOON NORTHWEST              |   39.83
  691 | ENCOUNTERS CURTAIN          |   39.81
  692 | CONGENIALITY QUEST          |   39.78
  693 | OUTBREAK DIVINE             |   39.77
  694 | FEUD FROGMEN                |   39.75
  695 | STORY SIDE                  |   39.72
  696 | TALENTED HOMICIDE           |   39.71
  697 | ITALIAN AFRICAN             |   38.94
  698 | BLOOD ARGONAUTS             |   38.90
  698 | WAGON JAWS                  |   38.90
  700 | DRUMLINE CYCLONE            |   38.89
  701 | MIGHTY LUCK                 |   38.88
  701 | UPTOWN YOUNG                |   38.88
  703 | INDEPENDENCE HOTEL          |   38.81
  704 | PIANIST OUTFIELD            |   38.78
  705 | WIND PHANTOM                |   38.77
  706 | CAPER MOTIONS               |   38.76
  707 | CURTAIN VIDEOTAPE           |   38.74
  708 | MOON BUNCH                  |   38.71
  709 | GRACELAND DYNAMITE          |   37.94
  710 | VERTIGO NORTHWEST           |   37.92
  710 | GODFATHER DIARY             |   37.92
  712 | SNATCHERS MONTEZUMA         |   37.91
  713 | ANTITRUST TOMATOES          |   37.90
  714 | ADAPTATION HOLES            |   37.88
  714 | HEDWIG ALTER                |   37.88
  716 | INTRIGUE WORST              |   37.80
  717 | SHOOTIST SUPERFLY           |   37.76
  718 | GUN BONNIE                  |   37.75
  719 | WESTWARD SEABISCUIT         |   37.74
  720 | CONTROL ANTHEM              |   36.93
  720 | DOZEN LION                  |   36.93
  722 | MULAN MOON                  |   36.87
  723 | INSECTS STONE               |   36.81
  724 | CHEAPER CLYDE               |   36.80
  725 | VOLCANO TEXAS               |   36.78
  726 | ACADEMY DINOSAUR            |   36.77
  727 | PRIMARY GLASS               |   36.73
  728 | BUBBLE GROSSE               |   35.94
  728 | FRONTIER CABIN              |   35.94
  728 | SCHOOL JACKET               |   35.94
  731 | UNTOUCHABLES SUNRISE        |   35.92
  732 | HALLOWEEN NUTS              |   35.90
  732 | GONE TROUBLE                |   35.90
  734 | DONNIE ALLEY                |   35.86
  735 | LOVE SUICIDES               |   35.80
  736 | ALAMO VIDEOTAPE             |   35.76
  737 | DOCTOR GRAIL                |   34.93
  738 | RESERVOIR ADAPTATION        |   34.90
  739 | MAGNOLIA FORRESTER          |   34.89
  739 | SONG HEDWIG                 |   34.89
  741 | MOB DUFFEL                  |   34.88
  742 | RINGS HEARTBREAKERS         |   34.85
  743 | SUMMER SCARFACE             |   34.84
  743 | WATCH TRACY                 |   34.84
  745 | TAXI KICK                   |   34.83
  746 | LION UNCUT                  |   34.82
  747 | BLADE POLISH                |   34.79
  748 | EARTH VISION                |   34.77
  748 | CARRIE BUNCH                |   34.77
  750 | FEVER EMPIRE                |   33.95
  751 | DIVORCE SHINING             |   33.93
  752 | MAGUIRE APACHE              |   33.91
  753 | SANTA PARIS                 |   33.89
  754 | SPLASH GUMP                 |   33.86
  755 | TRANSLATION SUMMER          |   33.85
  756 | ROXANNE REBEL               |   33.81
  756 | VOICE PEACH                 |   33.81
  758 | AMADEUS HOLY                |   33.79
  758 | CHAINSAW UPTOWN             |   33.79
  760 | TEQUILA PAST                |   32.94
  761 | BULWORTH COMMANDMENTS       |   32.93
  762 | MAKER GABLES                |   32.90
  763 | NATURAL STOCK               |   32.87
  764 | STAMPEDE DISTURBING         |   32.86
  765 | MOTIONS DETAILS             |   32.85
  766 | BONNIE HOLOCAUST            |   32.84
  767 | REAR TRADING                |   32.83
  767 | FACTORY DRAGON              |   32.83
  769 | MARS ROMAN                  |   32.81
  770 | HIGHBALL POTTER             |   32.79
  771 | CHILL LUCK                  |   32.78
  771 | ALTER VICTORY               |   32.78
  773 | CELEBRITY HORN              |   32.76
  774 | SHEPHERD MIDSUMMER          |   32.75
  775 | HAUNTED ANTITRUST           |   31.94
  775 | DESPERATE TRAINSPOTTING     |   31.94
  777 | DESTINATION JERK            |   31.92
  777 | SAINTS BRIDE                |   31.92
  779 | DWARFS ALTER                |   31.91
  779 | RANDOM GO                   |   31.91
  781 | DANCES NONE                 |   31.86
  782 | SEVEN SWARM                 |   30.95
  783 | APOCALYPSE FLAMINGOS        |   30.94
  784 | JUMANJI BLADE               |   30.92
  785 | DOLLS RAGE                  |   30.91
  786 | LUCK OPUS                   |   30.90
  787 | THEORY MERMAID              |   30.88
  788 | SLIPPER FIDELITY            |   30.84
  789 | EMPIRE MALKOVICH            |   30.79
  790 | WISDOM WORKER               |   29.91
  790 | DARES PLUTO                 |   29.91
  792 | OLEANDER CLUE               |   29.90
  793 | SIDE ARK                    |   29.88
  794 | LOUISIANA HARRY             |   29.83
  794 | CLEOPATRA DEVIL             |   29.83
  796 | ROOM ROMAN                  |   29.80
  797 | ROMAN PUNK                  |   29.76
  798 | COWBOY DOOM                 |   28.93
  798 | PIZZA JUMANJI               |   28.93
  798 | LUKE MUMMY                  |   28.93
  801 | CHITTY LOCK                 |   28.92
  801 | PAPI NECKLACE               |   28.92
  803 | WON DARES                   |   28.91
  804 | JEOPARDY ENCINO             |   28.90
  805 | FINDING ANACONDA            |   28.88
  805 | SAVANNAH TOWN               |   28.88
  807 | GREASE YOUTH                |   28.79
  807 | CHRISTMAS MOONSHINE         |   28.79
  809 | INFORMER DOUBLE             |   27.95
  810 | LEATHERNECKS DWARFS         |   27.93
  810 | SQUAD FISH                  |   27.93
  812 | DIARY PANIC                 |   27.91
  813 | DRAGON SQUAD                |   27.89
  813 | MINORITY KISS               |   27.89
  815 | ENCINO ELF                  |   27.81
  815 | CANYON STOCK                |   27.81
  817 | BORROWERS BEDAZZLED         |   27.78
  818 | PRIVATE DROP                |   26.95
  819 | UNFAITHFUL KILL             |   26.92
  819 | PET HAUNTING                |   26.92
  821 | CRAZY HOME                  |   26.91
  822 | EVOLUTION ALTER             |   26.88
  823 | RESURRECTION SILVERADO      |   26.79
  824 | BUNCH MINDS                 |   25.95
  825 | DESIRE ALIEN                |   25.92
  826 | JUNGLE CLOSER               |   25.86
  826 | NOTORIOUS REUNION           |   25.86
  828 | MOSQUITO ARMAGEDDON         |   25.85
  829 | HOLOCAUST HIGHBALL          |   25.83
  830 | UNFORGIVEN ZOOLANDER        |   25.82
  831 | MASKED BUBBLE               |   25.80
  832 | DECEIVER BETRAYED           |   25.79
  833 | TRAIN BUNCH                 |   24.96
  834 | TRAFFIC HOBBIT              |   24.95
  834 | HUNTER ALTER                |   24.95
  836 | BED HIGHBALL                |   24.94
  837 | WORLD LEATHERNECKS          |   24.92
  838 | GATHERING CALENDAR          |   24.89
  839 | DRUMS DYNAMITE              |   24.87
  839 | EVERYONE CRAFT              |   24.87
  841 | STREAK RIDGEMONT            |   24.84
  842 | POLISH BROOKLYN             |   24.82
  843 | PATIENT SISTER              |   24.81
  844 | WOLVES DESIRE               |   24.79
  844 | DRACULA CRYSTAL             |   24.79
  846 | MANNEQUIN WORST             |   23.95
  847 | CASSIDY WYOMING             |   23.94
  847 | DUCK RACER                  |   23.94
  849 | LESSON CLEOPATRA            |   23.93
  850 | CHAPLIN LICENSE             |   23.92
  850 | CLYDE THEORY                |   23.92
  852 | BIRDCAGE CASPER             |   23.91
  853 | REEF SALUTE                 |   23.89
  854 | WRATH MILE                  |   23.86
  855 | ODDS BOOGIE                 |   23.85
  856 | HOMEWARD CIDER              |   23.84
  857 | HAPPINESS UNITED            |   22.94
  857 | EXTRAORDINARY CONQUERER     |   22.94
  859 | NEWSIES STORY               |   22.93
  859 | LICENSE WEEKEND             |   22.93
  859 | BANG KWAI                   |   22.93
  862 | SHINING ROSES               |   22.92
  863 | HUNGER ROOF                 |   22.87
  863 | ARABIA DOGMA                |   22.87
  865 | VIETNAM SMOOCHY             |   22.85
  866 | GANDHI KWAI                 |   22.83
  867 | MUSIC BOONDOCK              |   22.81
  868 | KILLER INNOCENT             |   21.94
  868 | PHANTOM GLORY               |   21.94
  868 | WARLOCK WEREWOLF            |   21.94
  871 | MENAGERIE RUSHMORE          |   21.93
  871 | MULHOLLAND BEAST            |   21.93
  873 | MONTEREY LABYRINTH          |   21.87
  873 | CITIZEN SHREK               |   21.87
  875 | BULL SHAWSHANK              |   21.84
  876 | BRIDE INTRIGUE              |   21.81
  876 | JEDI BENEATH                |   21.81
  878 | IMPACT ALADDIN              |   20.91
  879 | SPOILERS HELLFIGHTERS       |   20.90
  880 | TENENBAUMS COMMAND          |   20.87
  881 | KANE EXORCIST               |   20.86
  882 | CRAFT OUTFIELD              |   20.84
  883 | MYSTIC TRUMAN               |   19.90
  884 | SPIRITED CASUALTIES         |   19.89
  884 | LANGUAGE COWBOY             |   19.89
  886 | LOVERBOY ATTACKS            |   19.88
  886 | SORORITY QUEEN              |   19.88
  888 | TOMATOES HELLFIGHTERS       |   19.86
  889 | RUSHMORE MERMAID            |   18.94
  889 | SIMON NORTH                 |   18.94
  891 | HOLY TADPOLE                |   18.91
  892 | ENDING CROWDS               |   18.89
  893 | CROW GREASE                 |   18.88
  894 | PRIDE ALAMO                 |   18.84
  895 | SMOKING BARBARELLA          |   18.83
  896 | LADYBUGS ARMAGEDDON         |   17.94
  897 | MAGIC MALLRATS              |   17.93
  898 | GILBERT PELICAN             |   17.91
  899 | SUPERFLY TRIP               |   17.90
  900 | ANONYMOUS HUMAN             |   17.87
  900 | HOOK CHARIOTS               |   17.87
  902 | SIEGE MADRE                 |   17.85
  903 | FULL FLATLINERS             |   16.95
  903 | BRAVEHEART HUMAN            |   16.95
  903 | CONSPIRACY SPIRIT           |   16.95
  906 | YOUTH KICK                  |   16.94
  907 | FROGMEN BREAKING            |   16.90
  907 | BENEATH RUSH                |   16.90
  909 | BEETHOVEN EXORCIST          |   16.89
  910 | VALENTINE VANISHING         |   16.88
  911 | BEDAZZLED MARRIED           |   16.87
  912 | SILENCE KANE                |   16.84
  913 | MIXED DOORS                 |   15.96
  913 | HARDLY ROBBERS              |   15.96
  915 | MUSSOLINI SPOILERS          |   15.95
  916 | WILD APOLLO                 |   15.94
  917 | VISION TORQUE               |   15.93
  917 | HAWK CHILL                  |   15.93
  919 | LAWRENCE LOVE               |   15.87
  919 | SASSY PACKER                |   15.87
  921 | GREEDY ROOTS                |   15.86
  922 | SPIRIT FLINTSTONES          |   15.85
  923 | GLORY TRACY                 |   14.95
  924 | VANISHED GARDEN             |   14.94
  924 | SLING LUKE                  |   14.94
  926 | RUNNER MADIGAN              |   14.92
  927 | ZHIVAGO CORE                |   14.91
  928 | SMOOCHY CONTROL             |   14.88
  929 | WATERSHIP FRONTIER          |   13.94
  929 | DUMBO LUST                  |   13.94
  931 | LEGEND JEDI                 |   13.91
  932 | NOTTING SPEAKEASY           |   13.90
  933 | HOLLYWOOD ANONYMOUS         |   13.87
  934 | TREATMENT JEKYLL            |   12.93
  935 | RUNAWAY TENENBAUMS          |   12.92
  935 | SUNSET RACER                |   12.92
  935 | SOUP WISDOM                 |   12.92
  938 | VICTORY ACADEMY             |   12.91
  939 | TOWERS HURRICANE            |   12.89
  940 | MAUDE MOD                   |   11.92
  941 | GHOSTBUSTERS ELF            |   11.91
  941 | MONTEZUMA COMMAND           |   11.91
  943 | CLOCKWORK PARADISE          |   11.90
  943 | JAWBREAKER BROOKLYN         |   11.90
  945 | CONNECTION MICROCOSMOS      |   10.93
  946 | BALLROOM MOCKINGBIRD        |   10.92
  947 | COMANCHEROS ENEMY           |    9.94
  948 | HAROLD FRENCH               |    9.92
  948 | LIGHTS DEER                 |    9.92
  950 | STALLION SUNDANCE           |    8.93
  951 | JAPANESE RUN                |    7.94
  952 | CRUELTY UNFORGIVEN          |    7.93
  953 | REBEL AIRPORT               |    7.92
  954 | YOUNG LANGUAGE              |    6.93
  954 | DUFFEL APOCALYPSE           |    6.93
  956 | FREEDOM CLEOPATRA           |    5.95
  957 | TEXAS WATCH                 |    5.94
  957 | OKLAHOMA JUMANJI            |    5.94
  959 | CRYSTAL BREAKING            |    0.00
  959 | DAZED PUNK                  |    0.00
  959 | ORDER BETRAYED              |    0.00
  959 | WAKE JAWS                   |    0.00
  959 | GUMP DATE                   |    0.00
  959 | HOCUS FRIDA                 |    0.00
  959 | CROSSING DIVORCE            |    0.00
  959 | ROOF CHAMPION               |    0.00
  959 | BOONDOCK BALLROOM           |    0.00
  959 | CATCH AMISTAD               |    0.00
  959 | DELIVERANCE MULHOLLAND      |    0.00
  959 | SUICIDES SILENCE            |    0.00
  959 | TREASURE COMMAND            |    0.00
  959 | CHOCOLATE DUCK              |    0.00
  959 | SKY MIRACLE                 |    0.00
  959 | FLOATS GARDEN               |    0.00
  959 | KILL BROTHERHOOD            |    0.00
  959 | APOLLO TEEN                 |    0.00
  959 | FRANKENSTEIN STRANGER       |    0.00
  959 | ARGONAUTS TOWN              |    0.00
  959 | CHINATOWN GLADIATOR         |    0.00
  959 | RAINBOW SHOCK               |    0.00
  959 | ALICE FANTASIA              |    0.00
  959 | TADPOLE PARK                |    0.00
  959 | VOLUME HOUSE                |    0.00
  959 | CROWDS TELEMARK             |    0.00
  959 | PERDITION FARGO             |    0.00
  959 | GLADIATOR WESTWARD          |    0.00
  959 | HATE HANDICAP               |    0.00
  959 | PEARL DESTINY               |    0.00
  959 | KENTUCKIAN GIANT            |    0.00
  959 | VILLAIN DESPERATE           |    0.00
  959 | ARK RIDGEMONT               |    0.00
  959 | WALLS ARTIST                |    0.00
  959 | COMMANDMENTS EXPRESS        |    0.00
  959 | MUPPET MILE                 |    0.00
  959 | ARSENIC INDEPENDENCE        |    0.00
  959 | FIREHOUSE VIETNAM           |    0.00
  959 | RAIDERS ANTITRUST           |    0.00
  959 | SISTER FREDDY               |    0.00
  959 | BUTCH PANTHER               |    0.00
  959 | PSYCHO SHRUNK               |    0.00
(1000 rows)

