 rank |            title            | revenue | total revenue 
  482 | KICK SAVANNAH               |   61.80 |      50001.32
  483 | PARK CITIZEN                |   60.92 |      50062.24
  484 | SPARTACUS CHEAPER           |   60.91 |      50123.15
  485 | CIRCUS YOUTH                |   60.85 |      50184.00
  486 | UPRISING UPTOWN             |   60.84 |      50244.84
  487 | ANACONDA CONFESSIONS        |   60.79 |      50366.42
  487 | FIREBALL PHILADELPHIA       |   60.79 |      50366.42
  489 | PACKER MADIGAN              |   60.78 |      50427.20
  490 | TIGHTS DAWN                 |   60.74 |      50487.94
  491 | MADIGAN DORADO              |   59.90 |      50547.84
  492 | BORN SPINAL                 |   59.88 |      50727.48
  492 | MASSAGE IMAGE               |   59.88 |      50727.48
  492 | WINDOW SIDE                 |   59.88 |      50727.48
  495 | IDENTITY LOVER              |   59.87 |      50787.35
  496 | NEMO CAMPUS                 |   59.86 |      50847.21
  497 | OUTFIELD MASSACRE           |   59.80 |      50907.01
  498 | ANNIE IDENTITY              |   59.78 |      51026.57
  498 | FIGHT JAWBREAKER            |   59.78 |      51026.57
  500 | MOCKINGBIRD HOLLYWOOD       |   59.76 |      51086.33
  501 | SMILE EARRING               |   58.90 |      51145.23
  502 | TRAINSPOTTING STRANGERS     |   58.89 |      51204.12
  503 | VALLEY PACKER               |   58.85 |      51262.97
  504 | MUMMY CREATURES             |   58.84 |      51380.65
  504 | WILLOW TRACY                |   58.84 |      51380.65
  506 | HEAVEN FREEDOM              |   58.82 |      51439.47
  507 | FICTION CHRISTMAS           |   58.81 |      51498.28
  508 | DALMATIONS SWEDEN           |   58.80 |      51557.08
  509 | KARATE MOON                 |   58.77 |      51615.85
  510 | GUYS FALCON                 |   57.91 |      51673.76
  511 | DOUBTFIRE LABYRINTH         |   57.90 |      51789.56
  511 | LAMBS CINCINATTI            |   57.90 |      51789.56
  513 | SIERRA DIVIDE               |   57.85 |      51847.41
  514 | PILOT HOOSIERS              |   57.84 |      51905.25
  515 | PERFECT GROOVE              |   57.83 |      51963.08
  516 | ENOUGH RAGING               |   57.82 |      52078.72
  516 | RACER EGG                   |   57.82 |      52078.72
  518 | GABLES METROPOLIS           |   57.81 |      52194.34
  518 | RIVER OUTLAW                |   57.81 |      52194.34
  520 | STRAIGHT HOURS              |   57.80 |      52252.14
  521 | ELEMENT FREDDY              |   56.90 |      52309.04
  522 | BOWFINGER GABLES            |   56.89 |      52422.82
  522 | FUGITIVE MAGUIRE            |   56.89 |      52422.82
  524 | CREATURES SHAKESPEARE       |   56.84 |      52479.66
  525 | GRAPES FURY                 |   56.77 |      52536.43
  526 | WONDERFUL DROP              |   55.91 |      52592.34
  527 | BUGSY SONG                  |   55.89 |      52704.12
  527 | IRON MOON                   |   55.89 |      52704.12
  529 | PURPLE MOVIE                |   55.87 |      52759.99
  530 | ANALYZE HOOSIERS            |   55.86 |      52871.71
  530 | SHANE DARKNESS              |   55.86 |      52871.71
  532 | DIRTY ACE                   |   55.85 |      52927.56
  533 | PATRIOT ROMAN               |   55.84 |      52983.40
  534 | GREEK EVERYONE              |   55.83 |      53095.06
  534 | UNITED PILOT                |   55.83 |      53095.06
  536 | GUNFIGHT MOON               |   55.76 |      53206.58
  536 | SLUMS DUCK                  |   55.76 |      53206.58
  538 | DANCING FEVER               |   55.73 |      53262.31
  539 | MAGNIFICENT CHITTY          |   54.92 |      53317.23
  540 | ALI FOREVER                 |   54.91 |      53427.05
  540 | MONSOON CAUSE               |   54.91 |      53427.05
  542 | GO PURPLE                   |   54.80 |      53481.85
  543 | FRISCO FORREST              |   53.91 |      53589.67
  543 | NUTS TIES                   |   53.91 |      53589.67
  545 | HUNTING MUSKETEERS          |   53.85 |      53697.37
  545 | SCISSORHANDS SLUMS          |   53.85 |      53697.37
  547 | ROUGE SQUAD                 |   53.82 |      53751.19
  548 | REUNION WITCHES             |   53.80 |      53804.99
  549 | SLEUTH ORIENT               |   53.79 |      53858.78
  550 | EFFECT GLADIATOR            |   53.75 |      53966.28
  550 | SUN CONFESSIONS             |   53.75 |      53966.28
  552 | ACE GOLDFINGER              |   52.93 |      54019.21
  553 | CASPER DRAGONFLY            |   52.92 |      54072.13
  554 | REDS POCUS                  |   52.91 |      54177.95
  554 | VANILLA DAY                 |   52.91 |      54177.95
  556 | GRAIL FRANKENSTEIN          |   52.90 |      54336.65
  556 | RIGHT CRANES                |   52.90 |      54336.65
  556 | SENSIBILITY REAR            |   52.90 |      54336.65
  559 | EXORCIST STING              |   52.87 |      54389.52
  560 | ALLEY EVOLUTION             |   52.86 |      54548.10
  560 | MADRE GABLES                |   52.86 |      54548.10
  560 | SHRUNK DIVINE               |   52.86 |      54548.10
  563 | GRADUATE LORD               |   52.84 |      54600.94
  564 | FREAKY POCUS                |   52.83 |      54653.77
  565 | NOVOCAINE FLIGHT            |   52.81 |      54706.58
  566 | CHOCOLAT HARRY              |   52.80 |      54759.38
  567 | HAUNTING PIANIST            |   52.78 |      54812.16
  568 | ISHTAR ROCKETEER            |   51.93 |      54916.02
  568 | PANIC CLUB                  |   51.93 |      54916.02
  570 | ELIZABETH SHANE             |   51.90 |      54967.92
  571 | AFRICAN EGG                 |   51.88 |      55019.80
  572 | BREAKING HOME               |   51.87 |      55071.67
  573 | MONSTER SPARTACUS           |   51.85 |      55123.52
  574 | CADDYSHACK JEDI             |   51.84 |      55227.20
  574 | MOULIN WAKE                 |   51.84 |      55227.20
  576 | PIRATES ROXANNE             |   51.78 |      55278.98
  577 | VIRGINIAN PLUTO             |   51.71 |      55330.69
  578 | CLERKS ANGELS               |   50.93 |      55381.62
  579 | WORKER TARZAN               |   50.85 |      55432.47
  580 | INDIAN LOVE                 |   50.84 |      55534.15
  580 | LOCK REAR                   |   50.84 |      55534.15
  582 | KWAI HOMEWARD               |   50.77 |      55584.92
  583 | BOUND CHEAPER               |   50.76 |      55635.68
  584 | DARLING BREAKING            |   49.91 |      55785.41
  584 | INTOLERABLE INTENTIONS      |   49.91 |      55785.41
  584 | SPEED SUIT                  |   49.91 |      55785.41
  587 | HOLLOW JEOPARDY             |   49.90 |      55835.31
  588 | POTLUCK MIXED               |   49.89 |      55885.20
  589 | EXPRESS LONELY              |   49.87 |      55935.07
  590 | PERSONAL LADYBUGS           |   49.86 |      56034.79
  590 | TOWN ARK                    |   49.86 |      56034.79
  592 | MODERN DORADO               |   49.85 |      56134.49
  592 | WASTELAND DIVINE            |   49.85 |      56134.49
  594 | HOURS RAGE                  |   49.81 |      56184.30
  595 | GOSFORD DONNIE              |   48.92 |      56233.22
  596 | DROP WATERFRONT             |   48.91 |      56282.13
  597 | LOLITA WORLD                |   48.90 |      56331.03
  598 | RIDER CADDYSHACK            |   48.89 |      56379.92
  599 | DARKNESS WAR                |   48.87 |      56428.79
  600 | CYCLONE FAMILY              |   48.86 |      56526.51
  600 | HAMLET WISDOM               |   48.86 |      56526.51
  602 | VARSITY TRIP                |   48.84 |      56575.35
  603 | ROCK INSTINCT               |   48.83 |      56624.18
  604 | GOLDMINE TYCOON             |   48.73 |      56672.91
  605 | VOYAGE LEGALLY              |   48.72 |      56721.63
  606 | SENSE GREEK                 |   47.93 |      56769.56
  607 | CRUSADE HONEY               |   47.92 |      56817.48
  608 | KRAMER CHOCOLATE            |   47.91 |      56865.39
  609 | ENTRAPMENT SATISFACTION     |   47.85 |      57008.94
  609 | LABYRINTH LEAGUE            |   47.85 |      57008.94
  609 | SHIP WONDERLAND             |   47.85 |      57008.94
  612 | NEWTON LABYRINTH            |   47.83 |      57056.77
  613 | TRAMP OTHERS                |   47.80 |      57104.57
  614 | GROSSE WONDERFUL            |   46.92 |      57198.41
  614 | PUNK DIVORCE                |   46.92 |      57198.41
  616 | ANYTHING SAVANNAH           |   46.91 |      57339.14
  616 | HOTEL HAPPINESS             |   46.91 |      57339.14
  616 | LEGALLY SECRETARY           |   46.91 |      57339.14
  619 | STAGE WORLD                 |   46.90 |      57386.04
  620 | MICROCOSMOS PARADISE        |   46.87 |      57432.91
  621 | PARIS WEEKEND               |   46.86 |      57526.63
  621 | TROOPERS METAL              |   46.86 |      57526.63
  623 | SHREK LICENSE               |   46.85 |      57573.48
  624 | STORM HAPPINESS             |   46.71 |      57620.19
  625 | BABY HALL                   |   45.92 |      57666.11
  626 | MATRIX SNOWMAN              |   45.91 |      57757.93
  626 | PLATOON INSTINCT            |   45.91 |      57757.93
  628 | ROLLERCOASTER BRINGING      |   45.90 |      57803.83
  629 | SPEAKEASY DATE              |   45.88 |      57849.71
  630 | DATE SPEED                  |   45.87 |      57895.58
  631 | STOCK GLASS                 |   45.86 |      57987.30
  631 | UNCUT SUICIDES              |   45.86 |      57987.30
  633 | MIDNIGHT WESTWARD           |   45.83 |      58033.13
  634 | ARMAGEDDON LOST             |   45.79 |      58078.92
  635 | FANTASY TROOPERS            |   45.74 |      58124.66
  636 | MIRACLE VIRTUAL             |   44.91 |      58169.57
  637 | LIFE TWISTED                |   44.90 |      58259.37
  637 | RUN PACIFIC                 |   44.90 |      58259.37
  639 | PARTY KNOCK                 |   44.87 |      58304.24
  640 | CLUB GRAFFITI               |   44.80 |      58349.04
  641 | WOMEN DORADO                |   44.78 |      58393.82
  642 | ALASKA PHANTOM              |   44.74 |      58438.56
  643 | RECORDS ZORRO               |   43.92 |      58482.48
  644 | FOREVER CANDIDATE           |   43.87 |      58570.22
  644 | LUCKY FLYING                |   43.87 |      58570.22
  646 | GLASS DYING                 |   43.86 |      58657.94
  646 | SHANGHAI TYCOON             |   43.86 |      58657.94
  648 | NECKLACE OUTBREAK           |   43.85 |      58701.79
  649 | MAJESTIC FLOATS             |   43.83 |      58745.62
  650 | POCUS PULP                  |   43.74 |      58789.36
  651 | WARS PLUTO                  |   42.90 |      58832.26
  652 | CRANES RESERVOIR            |   42.89 |      58960.93
  652 | LORD ARIZONA                |   42.89 |      58960.93
  652 | PRIX UNDEFEATED             |   42.89 |      58960.93
  655 | SADDLE ANTITRUST            |   42.86 |      59003.79
  656 | ROOTS REMEMBER              |   42.83 |      59046.62
  657 | COAST RAINBOW               |   42.79 |      59132.20
  657 | MOURNING PURPLE             |   42.79 |      59132.20
  659 | BANGER PINOCCHIO            |   42.78 |      59174.98
  660 | EARLY HOME                  |   41.93 |      59258.84
  660 | HEAVENLY GUN                |   41.93 |      59258.84
  662 | HOOSIERS BIRDCAGE           |   41.92 |      59342.68
  662 | SOLDIERS EVOLUTION          |   41.92 |      59342.68
  664 | FEATHERS METAL              |   41.89 |      59384.57
  665 | MILE MULAN                  |   41.87 |      59468.31
  665 | SPIKING ELEMENT             |   41.87 |      59468.31
  667 | ARMY FLINTSTONES            |   41.84 |      59510.15
  668 | GROOVE FICTION              |   41.82 |      59551.97
  669 | DISCIPLE MOTHER             |   41.81 |      59635.59
  669 | SUNDANCE INVASION           |   41.81 |      59635.59
  671 | CROOKED FROGMEN             |   41.77 |      59677.36
  672 | CLUE GRAIL                  |   40.93 |      59800.15
  672 | EVE RESURRECTION            |   40.93 |      59800.15
  672 | PRESIDENT BANG              |   40.93 |      59800.15
  675 | TARZAN VIDEOTAPE            |   40.92 |      59841.07
  676 | FRIDA SLIPPER               |   40.90 |      59881.97
  677 | BLANKET BEVERLY             |   40.88 |      59922.85
  678 | CABIN FLASH                 |   40.85 |      59963.70
  679 | SPLENDOR PATTON             |   40.79 |      60004.49
  680 | JERSEY SASSY                |   39.94 |      60084.37
  680 | TERMINATOR CLUB             |   39.94 |      60084.37
  682 | ELF MURDER                  |   39.93 |      60164.23
  682 | FIRE WOLVES                 |   39.93 |      60164.23
  684 | STONE FIRE                  |   39.89 |      60204.12
  685 | ROBBERY BRIGHT              |   39.87 |      60283.86
  685 | SPINAL ROCKY                |   39.87 |      60283.86
  687 | PAJAMA JAWBREAKER           |   39.86 |      60323.72
  688 | ILLUSION AMELIE             |   39.85 |      60403.42
  688 | TOOTSIE PILOT               |   39.85 |      60403.42
  690 | JOON NORTHWEST              |   39.83 |      60443.25
  691 | ENCOUNTERS CURTAIN          |   39.81 |      60483.06
  692 | CONGENIALITY QUEST          |   39.78 |      60522.84
  693 | OUTBREAK DIVINE             |   39.77 |      60562.61
  694 | FEUD FROGMEN                |   39.75 |      60602.36
  695 | STORY SIDE                  |   39.72 |      60642.08
  696 | TALENTED HOMICIDE           |   39.71 |      60681.79
  697 | ITALIAN AFRICAN             |   38.94 |      60720.73
  698 | BLOOD ARGONAUTS             |   38.90 |      60798.53
  698 | WAGON JAWS                  |   38.90 |      60798.53
  700 | DRUMLINE CYCLONE            |   38.89 |      60837.42
  701 | MIGHTY LUCK                 |   38.88 |      60915.18
  701 | UPTOWN YOUNG                |   38.88 |      60915.18
  703 | INDEPENDENCE HOTEL          |   38.81 |      60953.99
  704 | PIANIST OUTFIELD            |   38.78 |      60992.77
  705 | WIND PHANTOM                |   38.77 |      61031.54
  706 | CAPER MOTIONS               |   38.76 |      61070.30
  707 | CURTAIN VIDEOTAPE           |   38.74 |      61109.04
  708 | MOON BUNCH                  |   38.71 |      61147.75
  709 | GRACELAND DYNAMITE          |   37.94 |      61185.69
  710 | GODFATHER DIARY             |   37.92 |      61261.53
  710 | VERTIGO NORTHWEST           |   37.92 |      61261.53
  712 | SNATCHERS MONTEZUMA         |   37.91 |      61299.44
  713 | ANTITRUST TOMATOES          |   37.90 |      61337.34
  714 | ADAPTATION HOLES            |   37.88 |      61413.10
  714 | HEDWIG ALTER                |   37.88 |      61413.10
  716 | INTRIGUE WORST              |   37.80 |      61450.90
  717 | SHOOTIST SUPERFLY           |   37.76 |      61488.66
  718 | GUN BONNIE                  |   37.75 |      61526.41
  719 | WESTWARD SEABISCUIT         |   37.74 |      61564.15
  720 | CONTROL ANTHEM              |   36.93 |      61638.01
  720 | DOZEN LION                  |   36.93 |      61638.01
  722 | MULAN MOON                  |   36.87 |      61674.88
  723 | INSECTS STONE               |   36.81 |      61711.69
  724 | CHEAPER CLYDE               |   36.80 |      61748.49
  725 | VOLCANO TEXAS               |   36.78 |      61785.27
  726 | ACADEMY DINOSAUR            |   36.77 |      61822.04
  727 | PRIMARY GLASS               |   36.73 |      61858.77
  728 | BUBBLE GROSSE               |   35.94 |      61966.59
  728 | FRONTIER CABIN              |   35.94 |      61966.59
  728 | SCHOOL JACKET               |   35.94 |      61966.59
  731 | UNTOUCHABLES SUNRISE        |   35.92 |      62002.51
  732 | GONE TROUBLE                |   35.90 |      62074.31
  732 | HALLOWEEN NUTS              |   35.90 |      62074.31
  734 | DONNIE ALLEY                |   35.86 |      62110.17
  735 | LOVE SUICIDES               |   35.80 |      62145.97
  736 | ALAMO VIDEOTAPE             |   35.76 |      62181.73
  737 | DOCTOR GRAIL                |   34.93 |      62216.66
  738 | RESERVOIR ADAPTATION        |   34.90 |      62251.56
  739 | MAGNOLIA FORRESTER          |   34.89 |      62321.34
  739 | SONG HEDWIG                 |   34.89 |      62321.34
  741 | MOB DUFFEL                  |   34.88 |      62356.22
  742 | RINGS HEARTBREAKERS         |   34.85 |      62391.07
  743 | SUMMER SCARFACE             |   34.84 |      62460.75
  743 | WATCH TRACY                 |   34.84 |      62460.75
  745 | TAXI KICK                   |   34.83 |      62495.58
  746 | LION UNCUT                  |   34.82 |      62530.40
  747 | BLADE POLISH                |   34.79 |      62565.19
  748 | CARRIE BUNCH                |   34.77 |      62634.73
  748 | EARTH VISION                |   34.77 |      62634.73
  750 | FEVER EMPIRE                |   33.95 |      62668.68
  751 | DIVORCE SHINING             |   33.93 |      62702.61
  752 | MAGUIRE APACHE              |   33.91 |      62736.52
  753 | SANTA PARIS                 |   33.89 |      62770.41
  754 | SPLASH GUMP                 |   33.86 |      62804.27
  755 | TRANSLATION SUMMER          |   33.85 |      62838.12
  756 | ROXANNE REBEL               |   33.81 |      62905.74
  756 | VOICE PEACH                 |   33.81 |      62905.74
  758 | AMADEUS HOLY                |   33.79 |      62973.32
  758 | CHAINSAW UPTOWN             |   33.79 |      62973.32
  760 | TEQUILA PAST                |   32.94 |      63006.26
  761 | BULWORTH COMMANDMENTS       |   32.93 |      63039.19
  762 | MAKER GABLES                |   32.90 |      63072.09
  763 | NATURAL STOCK               |   32.87 |      63104.96
  764 | STAMPEDE DISTURBING         |   32.86 |      63137.82
  765 | MOTIONS DETAILS             |   32.85 |      63170.67
  766 | BONNIE HOLOCAUST            |   32.84 |      63203.51
  767 | FACTORY DRAGON              |   32.83 |      63269.17
  767 | REAR TRADING                |   32.83 |      63269.17
  769 | MARS ROMAN                  |   32.81 |      63301.98
  770 | HIGHBALL POTTER             |   32.79 |      63334.77
  771 | ALTER VICTORY               |   32.78 |      63400.33
  771 | CHILL LUCK                  |   32.78 |      63400.33
  773 | CELEBRITY HORN              |   32.76 |      63433.09
  774 | SHEPHERD MIDSUMMER          |   32.75 |      63465.84
  775 | DESPERATE TRAINSPOTTING     |   31.94 |      63529.72
  775 | HAUNTED ANTITRUST           |   31.94 |      63529.72
  777 | DESTINATION JERK            |   31.92 |      63593.56
  777 | SAINTS BRIDE                |   31.92 |      63593.56
  779 | DWARFS ALTER                |   31.91 |      63657.38
  779 | RANDOM GO                   |   31.91 |      63657.38
  781 | DANCES NONE                 |   31.86 |      63689.24
  782 | SEVEN SWARM                 |   30.95 |      63720.19
  783 | APOCALYPSE FLAMINGOS        |   30.94 |      63751.13
  784 | JUMANJI BLADE               |   30.92 |      63782.05
  785 | DOLLS RAGE                  |   30.91 |      63812.96
  786 | LUCK OPUS                   |   30.90 |      63843.86
  787 | THEORY MERMAID              |   30.88 |      63874.74
  788 | SLIPPER FIDELITY            |   30.84 |      63905.58
  789 | EMPIRE MALKOVICH            |   30.79 |      63936.37
  790 | DARES PLUTO                 |   29.91 |      63996.19
  790 | WISDOM WORKER               |   29.91 |      63996.19
  792 | OLEANDER CLUE               |   29.90 |      64026.09
  793 | SIDE ARK                    |   29.88 |      64055.97
  794 | CLEOPATRA DEVIL             |   29.83 |      64115.63
  794 | LOUISIANA HARRY             |   29.83 |      64115.63
  796 | ROOM ROMAN                  |   29.80 |      64145.43
  797 | ROMAN PUNK                  |   29.76 |      64175.19
  798 | COWBOY DOOM                 |   28.93 |      64261.98
  798 | LUKE MUMMY                  |   28.93 |      64261.98
  798 | PIZZA JUMANJI               |   28.93 |      64261.98
  801 | CHITTY LOCK                 |   28.92 |      64319.82
  801 | PAPI NECKLACE               |   28.92 |      64319.82
  803 | WON DARES                   |   28.91 |      64348.73
  804 | JEOPARDY ENCINO             |   28.90 |      64377.63
  805 | FINDING ANACONDA            |   28.88 |      64435.39
  805 | SAVANNAH TOWN               |   28.88 |      64435.39
  807 | CHRISTMAS MOONSHINE         |   28.79 |      64492.97
  807 | GREASE YOUTH                |   28.79 |      64492.97
  809 | INFORMER DOUBLE             |   27.95 |      64520.92
  810 | LEATHERNECKS DWARFS         |   27.93 |      64576.78
  810 | SQUAD FISH                  |   27.93 |      64576.78
  812 | DIARY PANIC                 |   27.91 |      64604.69
  813 | DRAGON SQUAD                |   27.89 |      64660.47
  813 | MINORITY KISS               |   27.89 |      64660.47
  815 | CANYON STOCK                |   27.81 |      64716.09
  815 | ENCINO ELF                  |   27.81 |      64716.09
  817 | BORROWERS BEDAZZLED         |   27.78 |      64743.87
  818 | PRIVATE DROP                |   26.95 |      64770.82
  819 | PET HAUNTING                |   26.92 |      64824.66
  819 | UNFAITHFUL KILL             |   26.92 |      64824.66
  821 | CRAZY HOME                  |   26.91 |      64851.57
  822 | EVOLUTION ALTER             |   26.88 |      64878.45
  823 | RESURRECTION SILVERADO      |   26.79 |      64905.24
  824 | BUNCH MINDS                 |   25.95 |      64931.19
  825 | DESIRE ALIEN                |   25.92 |      64957.11
  826 | JUNGLE CLOSER               |   25.86 |      65008.83
  826 | NOTORIOUS REUNION           |   25.86 |      65008.83
  828 | MOSQUITO ARMAGEDDON         |   25.85 |      65034.68
  829 | HOLOCAUST HIGHBALL          |   25.83 |      65060.51
  830 | UNFORGIVEN ZOOLANDER        |   25.82 |      65086.33
  831 | MASKED BUBBLE               |   25.80 |      65112.13
  832 | DECEIVER BETRAYED           |   25.79 |      65137.92
  833 | TRAIN BUNCH                 |   24.96 |      65162.88
  834 | HUNTER ALTER                |   24.95 |      65212.78
  834 | TRAFFIC HOBBIT              |   24.95 |      65212.78
  836 | BED HIGHBALL                |   24.94 |      65237.72
  837 | WORLD LEATHERNECKS          |   24.92 |      65262.64
  838 | GATHERING CALENDAR          |   24.89 |      65287.53
  839 | DRUMS DYNAMITE              |   24.87 |      65337.27
  839 | EVERYONE CRAFT              |   24.87 |      65337.27
  841 | STREAK RIDGEMONT            |   24.84 |      65362.11
  842 | POLISH BROOKLYN             |   24.82 |      65386.93
  843 | PATIENT SISTER              |   24.81 |      65411.74
  844 | DRACULA CRYSTAL             |   24.79 |      65461.32
  844 | WOLVES DESIRE               |   24.79 |      65461.32
  846 | MANNEQUIN WORST             |   23.95 |      65485.27
  847 | CASSIDY WYOMING             |   23.94 |      65533.15
  847 | DUCK RACER                  |   23.94 |      65533.15
  849 | LESSON CLEOPATRA            |   23.93 |      65557.08
  850 | CHAPLIN LICENSE             |   23.92 |      65604.92
  850 | CLYDE THEORY                |   23.92 |      65604.92
  852 | BIRDCAGE CASPER             |   23.91 |      65628.83
  853 | REEF SALUTE                 |   23.89 |      65652.72
  854 | WRATH MILE                  |   23.86 |      65676.58
  855 | ODDS BOOGIE                 |   23.85 |      65700.43
  856 | HOMEWARD CIDER              |   23.84 |      65724.27
  857 | EXTRAORDINARY CONQUERER     |   22.94 |      65770.15
  857 | HAPPINESS UNITED            |   22.94 |      65770.15
  859 | BANG KWAI                   |   22.93 |      65838.94
  859 | LICENSE WEEKEND             |   22.93 |      65838.94
  859 | NEWSIES STORY               |   22.93 |      65838.94
  862 | SHINING ROSES               |   22.92 |      65861.86
  863 | ARABIA DOGMA                |   22.87 |      65907.60
  863 | HUNGER ROOF                 |   22.87 |      65907.60
  865 | VIETNAM SMOOCHY             |   22.85 |      65930.45
  866 | GANDHI KWAI                 |   22.83 |      65953.28
  867 | MUSIC BOONDOCK              |   22.81 |      65976.09
  868 | KILLER INNOCENT             |   21.94 |      66041.91
  868 | PHANTOM GLORY               |   21.94 |      66041.91
  868 | WARLOCK WEREWOLF            |   21.94 |      66041.91
  871 | MENAGERIE RUSHMORE          |   21.93 |      66085.77
  871 | MULHOLLAND BEAST            |   21.93 |      66085.77
  873 | CITIZEN SHREK               |   21.87 |      66129.51
  873 | MONTEREY LABYRINTH          |   21.87 |      66129.51
  875 | BULL SHAWSHANK              |   21.84 |      66151.35
  876 | BRIDE INTRIGUE              |   21.81 |      66194.97
  876 | JEDI BENEATH                |   21.81 |      66194.97
  878 | IMPACT ALADDIN              |   20.91 |      66215.88
  879 | SPOILERS HELLFIGHTERS       |   20.90 |      66236.78
  880 | TENENBAUMS COMMAND          |   20.87 |      66257.65
  881 | KANE EXORCIST               |   20.86 |      66278.51
  882 | CRAFT OUTFIELD              |   20.84 |      66299.35
  883 | MYSTIC TRUMAN               |   19.90 |      66319.25
  884 | LANGUAGE COWBOY             |   19.89 |      66359.03
  884 | SPIRITED CASUALTIES         |   19.89 |      66359.03
  886 | LOVERBOY ATTACKS            |   19.88 |      66398.79
  886 | SORORITY QUEEN              |   19.88 |      66398.79
  888 | TOMATOES HELLFIGHTERS       |   19.86 |      66418.65
  889 | RUSHMORE MERMAID            |   18.94 |      66456.53
  889 | SIMON NORTH                 |   18.94 |      66456.53
  891 | HOLY TADPOLE                |   18.91 |      66475.44
  892 | ENDING CROWDS               |   18.89 |      66494.33
  893 | CROW GREASE                 |   18.88 |      66513.21
  894 | PRIDE ALAMO                 |   18.84 |      66532.05
  895 | SMOKING BARBARELLA          |   18.83 |      66550.88
  896 | LADYBUGS ARMAGEDDON         |   17.94 |      66568.82
  897 | MAGIC MALLRATS              |   17.93 |      66586.75
  898 | GILBERT PELICAN             |   17.91 |      66604.66
  899 | SUPERFLY TRIP               |   17.90 |      66622.56
  900 | ANONYMOUS HUMAN             |   17.87 |      66658.30
  900 | HOOK CHARIOTS               |   17.87 |      66658.30
  902 | SIEGE MADRE                 |   17.85 |      66676.15
  903 | BRAVEHEART HUMAN            |   16.95 |      66727.00
  903 | CONSPIRACY SPIRIT           |   16.95 |      66727.00
  903 | FULL FLATLINERS             |   16.95 |      66727.00
  906 | YOUTH KICK                  |   16.94 |      66743.94
  907 | BENEATH RUSH                |   16.90 |      66777.74
  907 | FROGMEN BREAKING            |   16.90 |      66777.74
  909 | BEETHOVEN EXORCIST          |   16.89 |      66794.63
  910 | VALENTINE VANISHING         |   16.88 |      66811.51
  911 | BEDAZZLED MARRIED           |   16.87 |      66828.38
  912 | SILENCE KANE                |   16.84 |      66845.22
  913 | HARDLY ROBBERS              |   15.96 |      66877.14
  913 | MIXED DOORS                 |   15.96 |      66877.14
  915 | MUSSOLINI SPOILERS          |   15.95 |      66893.09
  916 | WILD APOLLO                 |   15.94 |      66909.03
  917 | HAWK CHILL                  |   15.93 |      66940.89
  917 | VISION TORQUE               |   15.93 |      66940.89
  919 | LAWRENCE LOVE               |   15.87 |      66972.63
  919 | SASSY PACKER                |   15.87 |      66972.63
  921 | GREEDY ROOTS                |   15.86 |      66988.49
  922 | SPIRIT FLINTSTONES          |   15.85 |      67004.34
  923 | GLORY TRACY                 |   14.95 |      67019.29
  924 | SLING LUKE                  |   14.94 |      67049.17
  924 | VANISHED GARDEN             |   14.94 |      67049.17
  926 | RUNNER MADIGAN              |   14.92 |      67064.09
  927 | ZHIVAGO CORE                |   14.91 |      67079.00
  928 | SMOOCHY CONTROL             |   14.88 |      67093.88
  929 | DUMBO LUST                  |   13.94 |      67121.76
  929 | WATERSHIP FRONTIER          |   13.94 |      67121.76
  931 | LEGEND JEDI                 |   13.91 |      67135.67
  932 | NOTTING SPEAKEASY           |   13.90 |      67149.57
  933 | HOLLYWOOD ANONYMOUS         |   13.87 |      67163.44
  934 | TREATMENT JEKYLL            |   12.93 |      67176.37
  935 | RUNAWAY TENENBAUMS          |   12.92 |      67215.13
  935 | SOUP WISDOM                 |   12.92 |      67215.13
  935 | SUNSET RACER                |   12.92 |      67215.13
  938 | VICTORY ACADEMY             |   12.91 |      67228.04
  939 | TOWERS HURRICANE            |   12.89 |      67240.93
  940 | MAUDE MOD                   |   11.92 |      67252.85
  941 | GHOSTBUSTERS ELF            |   11.91 |      67276.67
  941 | MONTEZUMA COMMAND           |   11.91 |      67276.67
  943 | CLOCKWORK PARADISE          |   11.90 |      67300.47
  943 | JAWBREAKER BROOKLYN         |   11.90 |      67300.47
  945 | CONNECTION MICROCOSMOS      |   10.93 |      67311.40
  946 | BALLROOM MOCKINGBIRD        |   10.92 |      67322.32
  947 | COMANCHEROS ENEMY           |    9.94 |      67332.26
  948 | HAROLD FRENCH               |    9.92 |      67352.10
  948 | LIGHTS DEER                 |    9.92 |      67352.10
  950 | STALLION SUNDANCE           |    8.93 |      67361.03
  951 | JAPANESE RUN                |    7.94 |      67368.97
  952 | CRUELTY UNFORGIVEN          |    7.93 |      67376.90
  953 | REBEL AIRPORT               |    7.92 |      67384.82
  954 | DUFFEL APOCALYPSE           |    6.93 |      67398.68
  954 | YOUNG LANGUAGE              |    6.93 |      67398.68
  956 | FREEDOM CLEOPATRA           |    5.95 |      67404.63
  957 | OKLAHOMA JUMANJI            |    5.94 |      67416.51
  957 | TEXAS WATCH                 |    5.94 |      67416.51
  959 | ALICE FANTASIA              |    0.00 |      67416.51
  959 | APOLLO TEEN                 |    0.00 |      67416.51
  959 | ARGONAUTS TOWN              |    0.00 |      67416.51
  959 | ARK RIDGEMONT               |    0.00 |      67416.51
  959 | ARSENIC INDEPENDENCE        |    0.00 |      67416.51
  959 | BOONDOCK BALLROOM           |    0.00 |      67416.51
